voice,speaker,text_ja
ATR_b101_001,ev1,「…………」
ATR_b101_002,ev1,「……」
ATR_b101_003,ev1,「……ッ」
ATR_b101_004,ev1,「……」
ATR_b101_005,bg,「……？」
ATR_b101_006,bg,「……」
ATR_b101_007,ev,アトリ
ATR_b101_008,bg,アトリ
ATR_b101_009,bg,アトリ
ATR_b101_010,bgm,「……」
ATR_b101_011,bgm,「いえ、当然の務めを果たしたまでです」
ATR_b101_012,bg,「あなた方ヒトがそう総称する精密機器に属していますが、その呼び方は少々広範囲すぎるかと思います」
ATR_b101_013,bgm,「当然です。高性能ですから」
ATR_b101_014,bgm,「そうです、ダメです」
ATR_b101_015,bgm,「わたしはマスターの所有物ですので。勝手に売買するのは違法です」
ATR_b101_016,bgm,「え……」
ATR_b101_017,bgm,「ええぇぇ……マスター死んじゃったんですかぁ。そうですかぁ。合掌」
ATR_b101_018,bgm,「……」
ATR_b101_019,bg,「……そう……なんですか。あなたが……」
ATR_b101_020,bg,「さっき、海の中で出逢った時から、そんな気がしていました。やっぱりそうだったんですね」
ATR_b101_021,bg,「なんとお呼びしましょう。ご希望があればどうぞ」
ATR_b101_022,bg,「例えば“お兄ちゃん”とか“パパ”とか“にーさま”とか“兄ちゃま”とか……」
ATR_b101_023,bg,「夏生……」
ATR_b101_024,bg,「型番ですか？」
ATR_b101_025,bg,「“アトリ”です」
ATR_b101_026,bg,「マスターが名付けてくれました」
ATR_b101_027,bg,「でしょう！固有名が与えられるのは、物であるロボットが命ある者として承認された証ですからね」
ATR_b101_028,bg,「いわゆるひとつのステータスってやつです♪」
ATR_b101_029,bg,「あ、“夏生”もなかなかいい名前だと思いますよ」
ATR_b101_030,bg,「？　こういう目線ですが？」
ATR_b101_031,bg,「よろしくお願いしますね、夏生さん」
ATR_b102_001,bgm,「……学校」
ATR_b102_002,bgm,「手をお貸ししましょうか？」
ATR_b102_003,bg,「はいです」
ATR_b102_004,bgm,「質問してもいいですか。ここはどこでしょう」
ATR_b102_005,bgm,「いえ……わたしのメモリーにはありません」
ATR_b102_006,bgm,「へっちゃらです。高性能ですから」
ATR_b102_007,bg2,「どうかしましたか？」
ATR_b102_008,bg,「？」
ATR_b102_009,bg,「わたしに買ってくださるんですか？」
ATR_b102_010,bg,「うーんと……」
ATR_b102_011,bg,「……待ってください。判断基準が多数あって、決めきれないのです」
ATR_b102_012,bg,「丈夫さはこれだし、見た目が整ってるのはこれで……お値段とのバランスがよさげなのは……」
ATR_b102_013,bg,「わぁ～、サイズもぴったりです！」
ATR_b102_014,bgm,「んっふふ～♪」
ATR_b102_015,bgm,「はい！　だって夏生さんがわたしに、物を与えてくださったんですもの！」
ATR_b102_016,bgm,「……嬉しいと変でしたか……？」
ATR_b102_017,bgm,「ですよねー。よかったぁ」
ATR_b102_018,bg,「わたしは今から売却されるんですよね」
ATR_b102_019,bg,「あの……お願いがあるんですが」
ATR_b102_020,bg,「わたしを売るのは少し待っていただけませんか」
ATR_b102_021,bg,「うんと……４５日です。その後はどうなっても構いません」
ATR_b102_022,bg,「それは……」
ATR_b102_023,bg,「……」
ATR_b102_024,bg,「……」
ATR_b102_025,bg,「はい、間違いありません。今朝、そちらにいる夏生さんに海から引き揚げてもらいました」
ATR_b102_026,bg,「寝てたので、覚えてません」
ATR_b102_027,bg,「それで、わたしは高く売却できそうですか？」
ATR_b102_028,bg,「なるほど……さすが高性能なわたし。ご満足いただけるプライスが付いたのですね」
ATR_b102_029,bg,「こちらにいる夏生さんです」
ATR_b102_030,bgm,「？」
ATR_b102_031,bgm,「はい、ありがとうございます」
ATR_b102_032,bgm,「わたしは眠りにつく前、マスターから命令を受けました。それを果たしてからにしてほしいんです」
ATR_b102_033,bgm,「夏生さんは足が必要なんですよね？」
ATR_b102_034,bgm,「それまでの間、わたしが夏生さんの足になります！」
ATR_b102_035,bg,「こんな立派な靴も買っていただきましたし♪」
ATR_b102_036,bg2,「今使ってるその足より、きっとお役に立ちますよ」
ATR_b102_037,bg2,「どうしてですか？わたしの方が高性能なのに」
ATR_b102_038,bg2,「え、あのっ」
ATR_b102_039,bg,「……」
ATR_b102_040,bgm,「……はい」
ATR_b102_041,bg2,「夏生さん」
ATR_b102_042,bg2,「……はい」
ATR_b102_043,bg,「……」
ATR_b102_044,bg,「それまでの間、わたしが夏生さんの足になります！」
ATR_b102_045,bg,「こんな立派な靴も買っていただきましたし♪」
ATR_b102_046,bg,「……夏生さん？」
